index,pts_time,pkt_pts_time,pkt_dts_time,best_effort_timestamp_time,key_frame,pict_type,pkt_size,width,height
334,33.396656,,33.396656,33.396656,0,P,28593.0,1280.0,640.0
335,33.496644,,33.496644,33.496644,0,P,27373.0,1280.0,640.0
336,33.596633,,33.596633,33.596633,0,P,27122.0,1280.0,640.0
337,33.696622,,33.696622,33.696622,0,P,26688.0,1280.0,640.0
338,33.796611,,33.796611,33.796611,0,P,27137.0,1280.0,640.0
339,33.8966,,33.8966,33.8966,0,P,26655.0,1280.0,640.0
340,33.996589,,33.996589,33.996589,1,I,68652.0,1280.0,640.0
341,34.096578,,34.096578,34.096578,0,P,28477.0,1280.0,640.0
342,34.196567,,34.196567,34.196567,0,P,27888.0,1280.0,640.0
343,34.296556,,34.296556,34.296556,0,P,27369.0,1280.0,640.0
344,34.396544,,34.396544,34.396544,0,P,26714.0,1280.0,640.0
345,34.496533,,34.496533,34.496533,0,P,26695.0,1280.0,640.0
346,34.596922,,34.596922,34.596922,0,P,26449.0,1280.0,640.0
347,34.696556,,34.696556,34.696556,0,P,27057.0,1280.0,640.0
348,34.796533,,34.796533,34.796533,0,P,27371.0,1280.0,640.0
349,34.897211,,34.897211,34.897211,0,P,25342.0,1280.0,640.0
350,34.996467,,34.996467,34.996467,1,I,65518.0,1280.0,640.0
351,35.096533,,35.096533,35.096533,0,P,28039.0,1280.0,640.0
352,35.196478,,35.196478,35.196478,0,P,25871.0,1280.0,640.0
353,35.296422,,35.296422,35.296422,0,P,25713.0,1280.0,640.0
354,35.396811,,35.396811,35.396811,0,P,25430.0,1280.0,640.0
355,35.496456,,35.496456,35.496456,0,P,25420.0,1280.0,640.0
356,35.596433,,35.596433,35.596433,0,P,24819.0,1280.0,640.0
357,35.696411,,35.696411,35.696411,0,P,24765.0,1280.0,640.0
358,35.7965,,35.7965,35.7965,0,P,31422.0,1280.0,640.0
359,35.896456,,35.896456,35.896456,0,P,29834.0,1280.0,640.0
360,35.996411,,35.996411,35.996411,1,I,69963.0,1280.0,640.0
361,36.096367,,36.096367,36.096367,0,P,25423.0,1280.0,640.0
362,36.196322,,36.196322,36.196322,0,P,24535.0,1280.0,640.0
363,36.296389,,36.296389,36.296389,0,P,30167.0,1280.0,640.0
364,36.396344,,36.396344,36.396344,0,P,29279.0,1280.0,640.0
365,36.496411,,36.496411,36.496411,0,P,22609.0,1280.0,640.0
366,36.596333,,36.596333,36.596333,0,P,22810.0,1280.0,640.0
367,36.696256,,36.696256,36.696256,0,P,29268.0,1280.0,640.0
368,36.796333,,36.796333,36.796333,0,P,27737.0,1280.0,640.0
369,36.896411,,36.896411,36.896411,0,P,22206.0,1280.0,640.0
370,36.996489,,36.996489,36.996489,1,I,66183.0,1280.0,640.0
371,37.096267,,37.096267,37.096267,0,P,29322.0,1280.0,640.0
372,37.1963,,37.1963,37.1963,0,P,28664.0,1280.0,640.0
373,37.296333,,37.296333,37.296333,0,P,23423.0,1280.0,640.0
374,37.396367,,37.396367,37.396367,0,P,22508.0,1280.0,640.0
375,37.496278,,37.496278,37.496278,0,P,28538.0,1280.0,640.0
376,37.5963,,37.5963,37.5963,0,P,27123.0,1280.0,640.0
377,37.696322,,37.696322,37.696322,0,P,26897.0,1280.0,640.0
378,37.796244,,37.796244,37.796244,0,P,26529.0,1280.0,640.0
379,37.896167,,37.896167,37.896167,0,P,26111.0,1280.0,640.0
380,37.996211,,37.996211,37.996211,1,I,62588.0,1280.0,640.0
381,38.096256,,38.096256,38.096256,0,P,27642.0,1280.0,640.0
382,38.1962,,38.1962,38.1962,0,P,26287.0,1280.0,640.0
